Store,StoreTypeA,StoreTypeB,StoreTypeC,StoreTypeD,AssortmentA,AssortmentB,AssortmentC,Competition Distance,CompetitionOpenSinceMonth,CompetitionSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,promoInterval(from1-12)
1,0,0,1,0,1,0,0,1270,9,2008,0,,,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,0,0,1,0,0,570,11,2007,1,13,2010,1,0,0,0,0,0,0,0,0,0,0,0
3,1,0,0,0,1,0,0,14130,12,2006,1,14,2011,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,1,620,9,2009,0,,,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,0,0,1,0,0,29910,4,2015,0,,,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,0,0,1,0,0,310,12,2013,0,,,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,0,0,0,0,1,24000,4,2013,0,,,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,1,0,0,7520,10,2014,0,,,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,2030,8,2000,0,,,0,0,0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,0,3160,9,2009,0,,,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,0,1,960,11,2011,1,1,2012,1,0,0,0,0,0,0,0,0,0,0,0
12,1,0,0,0,0,0,1,1070,,,1,13,2010,1,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,1,0,0,310,,,1,45,2009,0,1,0,0,0,0,0,0,0,0,0,0
14,1,0,0,0,1,0,0,1300,3,2014,1,40,2011,1,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,1,4110,3,2010,1,14,2011,1,0,0,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,1,3270,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,0,0,1,0,0,50,12,2005,1,26,2010,1,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,1,0,0,1,13840,6,2010,1,14,2012,1,0,0,0,0,0,0,0,0,0,0,0
19,1,0,0,0,0,0,1,3240,,,1,22,2011,0,0,1,0,0,0,0,0,0,0,0,0
20,0,0,0,1,1,0,0,2340,5,2009,1,40,2014,1,0,0,0,0,0,0,0,0,0,0,0
21,0,0,1,0,0,0,1,550,10,1999,1,45,2009,1,0,0,0,0,0,0,0,0,0,0,0
